"grid_cell","round","date","prev","N"
387,7,2014-12-11,0.0256410256410256,39
387,9,2015-09-20,0,37
387,10,2016-02-16,0,36
388,9,2015-09-21,0,2
388,10,2016-02-11,0,6
389,9,2015-10-06,0,2
389,10,2016-02-11,0,5
390,7,2014-12-27,0,14
390,9,2015-10-04,0,18
390,10,2016-02-11,0,20
391,9,2015-10-04,0,9
391,10,2016-02-12,0,18
392,9,2015-10-04,0,12
392,10,2016-02-12,0,17
393,9,2015-10-04,0,12
393,10,2016-02-11,0,13
394,9,2015-10-07,0,8
394,10,2016-02-11,0,19
395,9,2015-09-14,0,3
395,10,2016-02-26,0,19
396,9,2015-09-15,0.0384615384615385,27
396,10,2016-02-26,0,35
397,9,2015-09-15,0,10
397,10,2016-02-25,0,4
398,8,2015-02-12,0,3
399,8,2015-02-12,0,23
399,9,2015-09-14,0,17
399,10,2016-02-25,0,22
400,8,2015-02-12,0,7
400,9,2015-09-14,0.105263157894737,57
400,10,2016-02-24,0,26
401,7,2014-12-29,0,22
401,8,2015-02-11,0,22
401,9,2015-09-13,0,14
402,7,2014-12-22,0,19
402,9,2015-09-13,0,14
402,10,2016-02-14,0,10
403,7,2014-12-14,0,23
403,8,2015-02-08,0,21
403,9,2015-09-10,0,10
403,10,2016-02-15,0,7
404,7,2014-12-18,0,7
404,8,2015-02-06,0,14
404,9,2015-09-17,0,17
405,7,2014-12-28,0,24
405,8,2015-02-05,0,14
405,9,2015-09-09,0,20
405,10,2016-02-17,0,25
406,7,2014-12-23,0,14
406,8,2015-03-03,0,6
406,9,2015-09-09,0,12
407,7,2014-12-17,0,21
