"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
4811,27.8222378478424,-16.6140110876234,"munyumbwe","80209_10",1.7059847182118
4812,27.8222378478424,-16.6050279347822,"munyumbwe","80209_10",0.723363572046826
4813,27.8222378478424,-16.596044781941,"munyumbwe","80209_10",0.36895237533878
4814,27.8222378478424,-16.551129017735,NA,"80207_1",1.09134827750968
4815,27.8222378478424,-16.5421458648938,NA,"80207_1",1.70831528990799
4816,27.8222378478424,-16.4792637950055,NA,"80207_3",1.70182589986506
4817,27.8222378478424,-16.4702806421643,NA,"80207_3",1.19253512933515
4818,27.8222378478424,-16.4612974893231,NA,"80207_3",1.39573230010724
4819,27.8222378478424,-16.4163817251171,"moomba","80207_3",5.88028157592342
4823,27.8316882942006,-16.8206236029709,"chabbobboma","80202_2",1.80508654687535
4824,27.8316882942006,-16.8116404501297,"chabbobboma","80202_2",0.874627924726207
4825,27.8316882942006,-16.8026572972885,"chabbobboma","80202_2",0.521162708099101
4826,27.8316882942006,-16.7936741444473,"chabbobboma","80203_2",1.16675133986737
4827,27.8316882942006,-16.7846909916061,"chabbobboma","80203_8",1.53735216032962
4828,27.8316882942006,-16.7757078387649,"chabbobboma","80202_5",1.06006441294778
4829,27.8316882942006,-16.7667246859237,"chabbobboma","80202_5",0.260880502636337
4830,27.8316882942006,-16.7577415330825,"chabbobboma","80202_5",1.00617131375016
4831,27.8316882942006,-16.7128257688765,"chabbobboma","80202_6",5.93957549879277
4832,27.8316882942006,-16.6948594631941,"chabbobboma","80202_3",5.80835138324483
4833,27.8316882942006,-16.6768931575118,"munyumbwe","80209_3",4.24695612184113
4834,27.8316882942006,-16.6679100046706,"munyumbwe","80209_3",3.3599352883374
4835,27.8316882942006,-16.6589268518294,"munyumbwe","80209_3",2.55767353919873
4836,27.8316882942006,-16.6229942404646,"munyumbwe","80209_3",2.74805542186941
4837,27.8316882942006,-16.6140110876234,"munyumbwe","80209_10",2.08351241234096
4838,27.8316882942006,-16.596044781941,"munyumbwe","80209_10",1.25175865782761
4839,27.8316882942006,-16.5870616290998,"munyumbwe","80209_10",1.78320991018306
4840,27.8316882942006,-16.551129017735,NA,"80207_1",2.06960407833902
4841,27.8316882942006,-16.5421458648938,NA,"80207_1",2.45167395293353
4842,27.8316882942006,-16.5331627120526,NA,"80207_8",2.45921140309053
4843,27.8316882942006,-16.506213253529,NA,"80207_8",3.0233219169475
4844,27.8316882942006,-16.4972301006879,NA,"80207_3",3.24101251381166
4845,27.8316882942006,-16.4882469478467,NA,"80207_3",2.24277252905213
4846,27.8316882942006,-16.4702806421643,NA,"80207_3",0.285939889829659
4847,27.8316882942006,-16.4612974893231,NA,"80207_3",0.779505049202819
4852,27.8411387405589,-16.8116404501297,"chipepo","80203_2",1.39886026690469
4853,27.8411387405589,-16.8026572972885,"chipepo","80203_2",0.398906443768971
4854,27.8411387405589,-16.7936741444473,"chipepo","80203_8",0.567709580451515
4855,27.8411387405589,-16.7846909916061,"chipepo","80203_8",0.727969776440308
4856,27.8411387405589,-16.7757078387649,"chabbobboma","80202_5",1.63121848750481
4857,27.8411387405589,-16.7667246859237,"chabbobboma","80202_5",1.26699189283
4858,27.8411387405589,-16.7577415330825,"chabbobboma","80202_5",1.59676646154826
4859,27.8411387405589,-16.7218089217177,"chabbobboma","80202_6",4.59786699650438
4860,27.8411387405589,-16.7038426160353,"chabbobboma","80202_3",5.06830482948587
4861,27.8411387405589,-16.6948594631941,"chabbobboma","80202_3",4.81139680746594
4862,27.8411387405589,-16.6679100046706,"munyumbwe","80209_3",3.97668904146987
4863,27.8411387405589,-16.6589268518294,"munyumbwe","80209_3",3.32667954403324
4864,27.8411387405589,-16.596044781941,"munyumbwe","80209_10",2.24288999424334
4865,27.8411387405589,-16.5780784762586,"munyumbwe","80209_10",3.20261686723582
4866,27.8411387405589,-16.5690953234174,"munyumbwe","80207_1",3.4574470376674
4867,27.8411387405589,-16.5421458648938,NA,"80207_8",2.34278809388911
4868,27.8411387405589,-16.5331627120526,NA,"80207_8",1.58726501825256
4869,27.8411387405589,-16.5151964063702,NA,"80207_8",1.60652374167798
